x,lx,qx,äx,Ax,2Ax,äx:1̅0̅|,Ax:1̅0̅|,äx:2̅0̅|,Ax:2̅0̅|,5Ex,10Ex,20Ex
63," 95,534.4 ",0.004730,14.1151,0.32785,0.13421,7.8960,0.62400,12.1174,0.42298,0.76033,0.56496,0.26674
64," 95,082.5 ",0.005288,13.8363,0.34113,0.14392,7.8712,0.62518,12.0101,0.42809,0.75760,0.55932,0.25569
65," 94,579.7 ",0.005915,13.5498,0.35477,0.15420,7.8435,0.62650,11.8920,0.43371,0.75455,0.55305,0.24381
66," 94,020.3 ",0.006619,13.2557,0.36878,0.16507,7.8126,0.62797,11.7622,0.43990,0.75114,0.54609,0.23112
67," 93,398.1 ",0.007409,12.9542,0.38313,0.17654,7.7781,0.62961,11.6199,0.44667,0.74732,0.53836,0.21764
68," 92,706.1 ",0.008297,12.6456,0.39783,0.18862,7.7396,0.63145,11.4643,0.45408,0.74305,0.52981,0.20343
69," 91,936.9 ",0.009294,12.3302,0.41285,0.20133,7.6968,0.63349,11.2949,0.46215,0.73828,0.52036,0.18856
70," 91,082.4 ",0.010413,12.0083,0.42818,0.21467,7.6491,0.63576,11.1109,0.47091,0.73295,0.50994,0.17313
71," 90,134.0 ",0.011670,11.6803,0.44379,0.22864,7.5961,0.63828,10.9118,0.48039,0.72701,0.49848,0.15730
72," 89,082.1 ",0.013081,11.3468,0.45968,0.24324,7.5373,0.64108,10.6974,0.49060,0.72039,0.48590,0.14122
73," 87,916.8 ",0.014664,11.0081,0.47580,0.25847,7.4721,0.64419,10.4675,0.50155,0.71303,0.47215,0.12511
74," 86,627.6 ",0.016440,10.6649,0.49215,0.27433,7.3999,0.64762,10.2221,0.51323,0.70483,0.45715,0.10918
75," 85,203.5 ",0.018433,10.3178,0.50868,0.29079,7.3203,0.65142,9.9616,0.52564,0.69574,0.44085,0.09368
76," 83,632.9 ",0.020668,9.9674,0.52536,0.30783,7.2325,0.65560,9.6866,0.53873,0.68566,0.42323,0.07887
77," 81,904.3 ",0.023175,9.6145,0.54217,0.32544,7.1360,0.66019,9.3980,0.55247,0.67450,0.40427,0.06500
78," 80,006.2 ",0.025984,9.2598,0.55906,0.34359,7.0302,0.66523,9.0970,0.56681,0.66217,0.38396,0.05230
79," 77,927.4 ",0.029132,8.9042,0.57599,0.36224,6.9146,0.67074,8.7850,0.58166,0.64859,0.36235,0.04096
80," 75,657.2 ",0.032658,8.5484,0.59293,0.38134,6.7885,0.67674,8.4639,0.59696,0.63365,0.33952,0.03113
81," 73,186.3 ",0.036607,8.1934,0.60984,0.40086,6.6517,0.68325,8.1354,0.61260,0.61727,0.31556,0.02286
82," 70,507.2 ",0.041025,7.8401,0.62666,0.42075,6.5037,0.69030,7.8018,0.62848,0.59936,0.29064,0.01616
83," 67,614.6 ",0.045968,7.4893,0.64336,0.44094,6.3443,0.69789,7.4651,0.64452,0.57985,0.26498,0.01094
84," 64,506.5 ",0.051493,7.1421,0.65990,0.46137,6.1735,0.70602,7.1275,0.66059,0.55868,0.23882,0.00706
85," 61,184.9 ",0.057665,6.7993,0.67622,0.48199,5.9915,0.71469,6.7910,0.67662,0.53581,0.21250,0.00431
86," 57,656.7 ",0.064554,6.4619,0.69229,0.50272,5.7986,0.72388,6.4574,0.69250,0.51122,0.18635,0.00248
87," 53,934.7 ",0.072237,6.1308,0.70806,0.52349,5.5954,0.73355,6.1285,0.70817,0.48492,0.16079,0.00133
88," 50,038.6 ",0.080798,5.8068,0.72349,0.54422,5.3828,0.74368,5.8057,0.72354,0.45697,0.13621,0.00066
89," 45,995.6 ",0.090326,5.4908,0.73853,0.56484,5.1620,0.75419,5.4903,0.73856,0.42748,0.11305,0.00030
90," 41,841.1 ",0.100917,5.1835,0.75317,0.58528,4.9346,0.76502,5.1833,0.75317,0.39659,0.09168,0.00012
91," 37,618.6 ",0.112675,4.8858,0.76735,0.60545,4.7021,0.77609,4.8857,0.76735,0.36453,0.07244,0.00005
92," 33,379.9 ",0.125708,4.5981,0.78104,0.62529,4.4665,0.78731,4.5981,0.78104,0.33158,0.05559,0.00002
93," 29,183.8 ",0.140128,4.3213,0.79423,0.64472,4.2299,0.79858,4.3213,0.79423,0.29808,0.04128,0.00000
94," 25,094.3 ",0.156052,4.0556,0.80688,0.66368,3.9945,0.80979,4.0556,0.80688,0.26445,0.02955,0.00000
95," 21,178.3 ",0.173599,3.8017,0.81897,0.68209,3.7624,0.82084,3.8017,0.81897,0.23116,0.02029,0.00000
96," 17,501.8 ",0.192887,3.5597,0.83049,0.69991,3.5356,0.83164,3.5597,0.83049,0.19872,0.01330,0.00000
97," 14,125.9 ",0.214030,3.3300,0.84143,0.71708,3.3159,0.84210,3.3300,0.84143,0.16765,0.00827,0.00000
98," 11,102.5 ",0.237134,3.1127,0.85177,0.73356,3.1050,0.85214,3.1127,0.85177,0.13850,0.00485,0.00000
99," 8,469.7 ",0.262294,2.9079,0.86153,0.74930,2.9039,0.86172,2.9079,0.86153,0.11173,0.00266,0.00000
100," 6,248.2 ",0.289584,2.7156,0.87068,0.76427,2.7137,0.87078,2.7156,0.87068,0.08777,0.00136,0.00000
